# (c) Der Bundeswahlleiter, Wiesbaden 2021;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;
# Reihenfolge der Landeslisten und Kreiswahlvorschläge auf den Stimmzetteln innerhalb der Länder bei der Bundestagswahl 2021;;;;;;;;;;;;;;;;;
# Übrige: 2021: Andere Kreiswahlvorschläge (Einzelkandidierende und Wählergruppen). 2017: Andere Kreiswahlvorschläge sowie Parteien, die nicht mehr mit eigenen Wahlvorschlägen antreten.;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;
Gruppenname_kurz;BUND;SH;MV;HH;NI;HB;BB;ST;BE;NW;SN;HE;TH;RP;BY;BW;SL
Wahlberechtigte;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4;-4
Wählende;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3
Ungültige;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2
Gültige;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
CDU;1;1;1;1;1;2;1;1;1;1;2;1;1;1;;1;1
SPD;2;2;4;2;2;1;3;4;3;2;4;2;4;2;2;2;2
AfD;3;5;2;6;4;5;2;2;5;4;1;3;2;3;3;5;4
FDP;4;3;5;5;3;6;5;5;6;3;5;4;5;4;4;4;5
DIE LINKE;5;6;3;4;6;3;4;3;2;6;3;6;3;6;6;6;3
GRÜNE;6;4;6;3;5;4;6;6;4;5;6;5;6;5;5;3;16
CSU;7;;;;;;;;;;;;;;1;;
FREIE WÄHLER;8;8;10;9;9;8;9;8;11;10;10;9;7;7;7;9;7
Die PARTEI;9;7;9;7;7;7;8;9;7;7;8;8;8;8;11;8;6
Tierschutzpartei;10;17;7;8;8;16;7;17;8;8;7;7;17;18;9;7;13
NPD;11;9;8;12;11;11;10;10;21;11;9;11;9;11;13;12;8
PIRATEN;12;;16;20;10;19;16;18;9;9;11;10;11;9;12;10;9
ÖDP;13;10;12;10;13;14;12;15;13;12;12;12;10;10;8;11;12
V-Partei³;14;21;;11;12;9;;;15;13;13;13;12;12;14;28;
DiB;15;;;;;;;;;;;;;15;;13;
BP;16;;;;;;;;;;;;;;10;;
Tierschutzallianz;17;;;;;;;7;;;;;;;;;
MLPD;18;11;11;13;14;12;13;12;17;15;14;14;13;13;16;14;10
Gesundheitsforschung;19;;;;;;;;12;14;20;21;;;15;22;
MENSCHLICHE WELT;20;;;;;10;;;29;;;;15;;;27;
DKP;21;13;14;14;15;;11;;16;17;18;15;;21;17;15;
Die Grauen;22;;;;;;;;10;;;;;;;;
BüSo;23;;;;;;;;18;;23;24;;;27;25;
Die Humanisten;24;16;15;19;19;15;15;16;22;16;19;20;16;17;23;21;
Gartenpartei;25;;;;;;;11;;;;;;;;;
du.;26;14;;17;17;;;14;14;21;;;;;21;;
SGP;27;;;;;;;;19;18;;;;;;;
dieBasis;28;12;13;15;16;13;14;13;25;19;15;16;14;14;18;16;11
Bündnis C;29;;;;;;;;;20;16;17;;;19;17;
BÜRGERBEWEGUNG;30;;;;;;;;;;;;;;;18;
III. Weg;31;;;;;;;;;;17;;;;20;;
BÜNDNIS21;32;;;16;;;;;27;;;18;;;;19;
LIEBE;33;;;;;;;;;22;;;;;;;
LKR;34;15;;18;18;;;;20;23;24;19;21;16;22;20;
PdF;35;;;;;;;;;24;;;;;;;
LfK;36;;;;;;;;;25;;;;;;;
SSW;37;18;;;;;;;;;;;;;;;
Team Todenhöfer;38;19;17;21;20;17;17;;23;26;21;22;18;19;24;23;14
UNABHÄNGIGE;39;;19;;;;18;;;29;;25;;22;25;;
Volt;40;20;18;22;21;18;19;19;24;27;22;23;19;20;26;24;15
Volksabstimmung;41;;;;;;;;;28;;;;;;;
B*;42;;;;;;;;26;;;;;;;;
sonstige;43;;;;;;;;28;;;;;;;;
FAMILIE;44;;;;;;20;;;;;;;;;;
Graue Panther;45;;;;;;;;;;;;20;;;;
KlimalisteBW;46;;;;;;;;;;;;;;;26;
THP;47;;;;;;;;;;;;22;;;;
Übrige;48;22;20;23;22;20;21;20;30;30;25;26;23;23;28;29;17
